url,Origin,Destination,Number of People,Age,Male Victim,Female Victim,Category,Date,City
https://www.ndtv.com/telangana-news/hyderabad-woman-stranded-in-oman-relatives-turn-to-sushma-swaraj-1910958,india,Oman,1,,,1,labour,21/02/2018,
https://www.ndtv.com/hyderabad-news/ex-congress-lawmaker-arrested-for-allegedly-trafficking-3-people-to-us-on-fake-documents-1914810,india,usa,3,,,,,11/09/2018,
https://www.ndtv.com/delhi-news/woman-arrested-in-delhi-for-alleged-involvement-in-human-trafficking-1921023,india,,1,,,,employement,,
https://www.ndtv.com/delhi-news/27-trafficked-victims-including-16-minor-girls-rescued-in-delhi-1926375,india,,16,,5,6,employement,,
https://www.bbc.com/news/uk-england-derbyshire-47563576?intlink_from_url=https://www.bbc.com/news/topics/c77jz3mdmr3t/human-trafficking&link_location=live-reporting-story,UK,UK,,,,,prostitution,14/03/2019,
https://www.bbc.com/news/uk-england-lancashire-47543658?intlink_from_url=https://www.bbc.com/news/topics/c77jz3mdmr3t/human-trafficking&link_location=live-reporting-story,Vietnam,UK,290,15,,,prostitution,14/03/2019,
https://www.bbc.com/news/uk-england-essex-46967227?intlink_from_url=https://www.bbc.com/news/topics/c77jz3mdmr3t/human-trafficking&link_location=live-reporting-story,Essex,,27,,,,,25/01/2019,
https://www.bbc.com/news/world-asia-46610882?intlink_from_url=https://www.bbc.com/news/topics/c77jz3mdmr3t/human-trafficking&link_location=live-reporting-story,NorthKorea,China,2,22,,2,prostitution,18/01/2019,
https://www.justice.gov/usao-ndoh/pr/jury-finds-toledo-pastor-guilty-sex-trafficking-minor-and-other-crimes,USA,USA,2,14,0,2,sexual exploit,28/03/2019,
https://www.ndtv.com/kerala-news/kochi-abandoned-bags-prompt-probe-in-suspected-human-trafficking-to-australia-1977692,india,australia,40,,,,,,
https://www.justice.gov/usao-sdtx/pr/missouri-city-man-sentenced-having-trafficked-12-year-old-girl-sex,USA,USA,1,12,0,1,sexual exploit,11/10/2018,
,srilanka,australia,9,,,,,,
https://www.ndtv.com/india-news/manipur-police-rescue-130-in-ongoing-anti-human-trafficking-operation-1987440,nepal,myanmar,183,,32,151,,,
https://www.bbc.com/news/uk-england-derbyshire-46126150?intlink_from_url=https://www.bbc.com/news/topics/c77jz3mdmr3t/human-trafficking&link_location=live-reporting-story,UK,UK,28,,,,labour,7/11/2019,
https://www.bbc.com/news/world-latin-america-46124647?intlink_from_url=https://www.bbc.com/news/topics/c77jz3mdmr3t/human-trafficking&link_location=live-reporting-story,Peru,Peru,,,,,organ trafficking,7/11/2019,
https://www.ndtv.com/world-news/indonesia-finds-193-bangladeshis-locked-up-in-a-shop-1989939,bangladesh,indonesia,193,,,,employement,07/02/2019,
https://timesofindia.indiatimes.com/city/bareilly/human-trafficking-minor-bangladeshi-girl-rescued/articleshow/67800119.cms,Bangladesh,India,1,10,0,1,sexual exploit,22/01/2012,
https://www.justice.gov/usao-sdms/pr/sex-trafficker-minors-sentenced-32-years-federal-prison,USA,USA,,15,,,sexual exploit,26/03/2019,
https://timesofindia.indiatimes.com/city/vadodara/this-hospital-is-hotbed-of-child-trafficking/articleshow/66757365.cms,india,india,13,,,,,23/09/2019,
https://timesofindia.indiatimes.com/city/bareilly/bareilly-man-held-for-human-trafficking-of-14-yr-old-girl-from-kolkata/articleshow/66991725.cms,india,india,1,,,,,,
https://www.bbc.com/news/uk-northern-ireland-46092085?intlink_from_url=https://www.bbc.com/news/topics/c77jz3mdmr3t/human-trafficking&link_location=live-reporting-story,UK,Ireland,36,,,36,labour,5/11/2019,
https://timesofindia.indiatimes.com/city/delhi/delhi-cop-jumps-into-yamuna-to-nab-fleeing-trafficker/articleshow/67616813.cms,india,dubai,16,,,16,employement,21/01/2019,
https://timesofindia.indiatimes.com/city/hyderabad/human-trafficking-14-from-telangana-to-return-from-iraqi-kurdistan/articleshow/67721393.cms,india,iraq,15,,,,employement,28/01/2019,
https://timesofindia.indiatimes.com/city/bareilly/human-trafficking-minor-bangladeshi-girl-rescued/articleshow/67800119.cms,bangladesh,india,1,,,1,sex,02/02/2019,
https://timesofindia.indiatimes.com/city/ahmedabad/ahmedabad-police-arrest-woman-involved-in-major-human-trafficking-racket/articleshow/67815761.cms,india,india,1,,,1,sex,03/02/2019,
https://timesofindia.indiatimes.com/city/ajmer/8-kids-rescued-in-ajmer-two-held/articleshow/67875869.cms,india,india,8,,,,labour,07/02/2019,
https://timesofindia.indiatimes.com/city/mumbai/mumbai-duo-helps-boy-immigrate-on-fake-passport-held/articleshow/67984713.cms,india,mexico,1,,,,,14/02/2019,
https://timesofindia.indiatimes.com/city/hyderabad/three-more-cases-of-city-women-trafficked-to-gulf-family-approach-swaraj-for-help/articleshow/67988542.cms,india,kuwait,3,,,3,labour,14/02/2019,
https://timesofindia.indiatimes.com/city/delhi/human-trafficking-racket-busted-1-held-in-delhi/articleshow/68131954.cms,india,india,1,,,1,sex,24/02/2019,
https://www.bbc.com/news/uk-england-45733542?intlink_from_url=https://www.bbc.com/news/topics/c77jz3mdmr3t/human-trafficking&link_location=live-reporting-story,UK,UK,2,14,,2,drugs,15/01/2019,
https://timesofindia.indiatimes.com/city/hyderabad/2-women-trafficked-to-oman-kuwait-kin-send-sos-to-mea/articleshow/68237675.cms,india,india,2,,,2,labour,03/03/2019,
https://www.bbc.com/news/uk-scotland-glasgow-west-45631813?intlink_from_url=https://www.bbc.com/news/topics/c77jz3mdmr3t/human-trafficking&link_location=live-reporting-story,Vietnam,UK,1,,,1,prostitution,24/09/18,
https://www.justice.gov/usao-wdmo/pr/california-man-pleads-guilty-sex-trafficking-six-victims,USA,USA,6,,0,6,prostitution,19/03/2019,
https://timesofindia.indiatimes.com/city/jaipur/40-children-rescued-in-last-two-months-from-bonded-labour/articleshow/68247497.cms,india,india,40,,1,,labour,04/03/2019,
https://timesofindia.indiatimes.com/city/hyderabad/2-city-women-trafficked-to-gulf-rescued/articleshow/68338866.cms,india,india,1,,,,labour,10/03/2019,
https://www.bbc.com/news/uk-england-london-45590145?intlink_from_url=https://www.bbc.com/news/topics/c77jz3mdmr3t/human-trafficking&link_location=live-reporting-story,Nigeria,Germany,5,,,5,prositituition,20/09/2018,
https://www.bbc.com/news/uk-43743579?intlink_from_url=https://www.bbc.com/news/topics/c77jz3mdmr3t/human-trafficking&link_location=live-reporting-story,uk,uk,1,,,1,labour,16/04/2018,
https://www.justice.gov/usao-wdwa/pr/violent-pimp-convicted-human-trafficking-following-eight-day-trial,uk,uk,10,,,,prostitution,15/09/2018,
https://www.bbc.com/news/stories-45103617?intlink_from_url=https://www.bbc.com/news/topics/c77jz3mdmr3t/human-trafficking&link_location=live-reporting-story,uk,uk,1,,,,prositituition,08/08/2018,
https://www.bbc.com/news/uk-england-kent-44482680?intlink_from_url=https://www.bbc.com/news/topics/c77jz3mdmr3t/human-trafficking&link_location=live-reporting-story,nigeria,russia,,10,1,9,,,
https://www.justice.gov/usao-wdwa/pr/violent-pimp-convicted-human-trafficking-following-eight-day-trial,USA,USA,,,,,prostitution,06/03/2019,
https://www.justice.gov/usao-ndil/pr/chicago-man-convicted-sex-trafficking-16-year-old-girl-who-was-allegedly-murdered,USA,USA,1,16,0,1,prostitution,06/03/2019,
https://www.bbc.com/news/uk-wales-44807348?intlink_from_url=https://www.bbc.com/news/topics/c77jz3mdmr3t/human-trafficking&link_location=live-reporting-story,,wales,150,,,,,,
https://www.justice.gov/usao-md/pr/washington-dc-commercial-sex-customer-pleads-guilty-sex-trafficking-minor,USA,USA,1,16,0,1,prostitution,05/03/2019,
https://www.justice.gov/usao-md/pr/two-delaware-men-plead-guilty-sex-trafficking-15-year-old-girl,USA,USA,1,15,0,1,prostitution,22/02/2019,Baltimore
https://www.justice.gov/usao-wdny/pr/sex-trafficking-ring-leader-sentenced,China,USA,12,,0,12,prostitution,21/02/2019,"BUFFALO, N.Y.-U.S"
https://allafrica.com/stories/201904010069.html,Eritrea,Isiolo County,8,17-31,,,,28/03/2019,
https://allafrica.com/stories/201904010069.html,Burundi,Kiambu,25,24-33,,,,,
https://www.philstar.com/nation/2018/12/24/1879441/9-victims-trafficking-rescued-naia,philippines,South Korea,9,,,,labour,24/12/2018,
https://www.philstar.com/nation/2018/12/24/1879441/9-victims-trafficking-rescued-naia,Bangladesh,malaysia,59,,,,labour,20/12/2018,Kuala Lumpur
https://eastcountytoday.net/saturday-brentwood-to-host-red-sand-project/,usa,usa,40,,,,,29/03/2019,
http://www.wlbt.com/2019/01/30/human-trafficking-victims-rescued-more-than-suspects-arrested-ca-sting/,usa,usa,48,17-20,,,prostitution,30/01/2019,Los Angeles
https://hothiphopdetroit.com/3875970/human-trafficking-bust-in-madison-heights/,usa,usa,2,20-23,,2,prostitution,29/03/2019,
http://www.wlbt.com/2019/01/30/human-trafficking-victims-rescued-more-than-suspects-arrested-ca-sting/,usa,usa,50,,,11,labour,25/01/2018,Los Angeles
https://www.justice.gov/usao-sdfl/pr/cuban-national-sentenced-more-10-years-labor-trafficking-and-alien-smuggling,Mexico,USA,3,,0,3,prostitution,21/02/2019,Florida
https://wgno.com/2019/03/28/state-police-42-year-old-n-o-man-arrested-for-child-trafficking-beat-and-raped-teen-for-weeks/,usa,usa,1,16,,1,sex,,
https://www.pe.com/2017/08/17/2-human-trafficking-victims-rescued-l-a-man-arrested-in-chino-raid/,usa,usa,2,,,2,sex,25/08/2017,Los Angeles
https://www.registerguard.com/news/20190331/two-massage-parlors-raided-in-springfield-three-arrested,china,usa,5,35-50,,,prostitution,31/03/2019,Springfield
https://www.justice.gov/usao-edla/pr/metairie-man-pleads-guilty-conspiracy-commit-sex-trafficking-14-year-old-female,usa,usa,1,14,0,1,sex trafficking,07/02/2019,Louisiana
https://punchng.com/103-victims-of-human-trafficking-rescued-in-osun-naptip/,africa,africa,103,,35,24,prostitution,06/08/2018,Osun
https://cebudailynews.inquirer.net/208486/8-rescued-from-human-trafficking-at-naia,philippines,philippines,8,,6,2,labour,17/12/2018,manila
https://www.justice.gov/usao-mn/pr/owner-illegal-massage-parlor-found-guilty-sex-trafficking,usa,usa,2,,0,2,prostitution,06/02/2019,Minneapolis
https://www.reuters.com/article/us-usa-trafficking-arrests-idUSKBN15G5J6,usa,usa,28,,,,prostitution,02/02/2017,
https://www.justice.gov/usao-ednc/pr/erie-man-sentenced-after-conviction-human-trafficking-related-offenses,usa,usa,3,,,,sex trafficking,01/02/2018,NEW BERN
https://www.justice.gov/usao-edca/pr/elk-grove-man-sentenced-over-12-years-prison-sex-trafficking-child,usa,usa,1,14,0,1,prostitution,01/02/2019,Oakland
http://www.crimevoice.com/2019/03/27/trafficker/,usa,usa,3,13-16,,,sex,27/02/2019,santa ana
https://www.thedailystar.net/city/human-trafficking-gang-in-dhaka-4-displaced-myanmar-women-rescued-1721107,myanmar,saudi arabia,4,18-25,,,,26/03/2019,dhaka
https://www.justice.gov/opa/pr/couple-convicted-forcing-young-west-african-girl-labor-their-southlake-texas-home-16-years,west africa,usa,1,,0,1,labour,11/01/2019,Texas
http://www.theglobaldispatch.com/missouri-city-man-eddie-larue-sentenced-for-sex-trafficking-a-12-year-old-girl-60672/,usa,usa,1,12,,1,sex,07/03/2017,Missouri city
https://www.wwlp.com/news/crime/26-rescued-in-seattle-human-trafficking-bust/1840024170,,usa,26,20-60,,26,sex,11/03/2019,seattle
https://www.justice.gov/usao-edva/pr/prostitution-customer-sentenced-sexually-exploiting-two-minor-girls,usa,usa,2,14-16,0,2,sex,01/02/2019,dmv area
https://www.thestar.com/news/gta/2019/02/07/foreign-workers-rescued-in-labour-human-trafficking-raids-in-simcoe-county.html,Mexico,usa,40,,,,,,
http://www.wlox.com/2019/03/01/teen-rescued-during-human-trafficking-sting-hub-city/,usa,usa,1,,,1,prostitution,01/03/2019,hattiesburg
,usa,usa,2,17,,2,prostitution,22/05/2018,compton
https://patch.com/california/banning-beaumont/human-trafficking-victim-rescued-inland-empire-sheriff,usa,usa,1,,,1,prostitution,30/10/2018,inland empire
https://ktla.com/2019/03/14/3-teen-human-trafficking-victims-rescued-suspected-pimp-arrested-in-santa-ana-police/,usa,usa,3,,,3,prostitution,14/03/2019,Santa ana
https://wgno.com/2018/12/20/2-men-arrested-missing-teen-rescued-in-sex-trafficking-raid-at-canal-st-hotel/,usa,usa,1,16,,1,prostitution,24/01/2019,new orleans
https://www.nyoooz.com/news/bareilly/1317081/human-trafficking-minor-bangladeshi-girl-rescued/,india,bangladesh,1,10,,1,prostitution,01/02/2019,
https://www.sunstar.com.ph/article/1799619,philippines,philippines,7,16,,,labour,01/04/2019,Cagayan de Oro City
https://globalnews.ca/news/4956517/human-trafficking-labour-canada/,mexico,canada,43,20-46,,,labour,,ontario
https://www.philstar.com/nation/2019/02/13/1893173/human-trafficking-victims-rescued-zamboanga,,philippines,48,,,,,14/02/2019,ZAMBOANGA city
https://www.kxan.com/news/local/austin/2-local-bars-shut-down-for-drugs-human-trafficking-drink-solicitation/1860383838,usa,usa,2,,,2,prostitution,19/03/2019,austin
http://www.theglobaldispatch.com/california-man-ronald-ean-taylor-pleads-guilty-to-sex-trafficking-of-6-victims-39323/,usa,usa,6,,,6,prostitution,17/05/2017,
https://www.justice.gov/opa/pr/defendants-charged-multiple-counts-related-interstate-prostitution-and-sex-trafficking,china,usa,,,,,prostitution,13/08/2018,Maine
https://www.republicworld.com/india-news/general-news/136-girls-rescued-from-human-trafficking-in-manipur,nepal,india,136,,,136,,,
https://thegrio.com/2019/02/02/two-arrested-two-teen-girls-rescued-in-miami-beach-human-trafficking-case/,usa,usa,1,14,,1,prostitution,,miami beach
https://www.whec.com/national/man-accused-of-forcing-california-woman-into-prostitution/5277093/,usa,usa,1,,,1,prostitution,13/03/2019,orlando
https://www.whec.com/national/man-accused-of-forcing-california-woman-into-prostitution/5277093/,,,,,,,,,
https://thegrio.com/2019/02/02/two-arrested-two-teen-girls-rescued-in-miami-beach-human-trafficking-case/,https://www.iol.co.za/news/south-africa/free-state/11-rescued-from-suspected-free-state-human-traffickers-12768971,usa,1,15,,1,prostitution,,miami beach
https://timesofindia.indiatimes.com/city/bareilly/human-trafficking-minor-bangladeshi-girl-rescued/articleshow/67800119.cms,bangladesh,india,1,10,,1,prostitution,01/01/2012,mumbai
https://www.justice.gov/opa/pr/five-members-mexican-sex-trafficking-organization-sentenced-prison,mexico,usa,12,14-21,0,12,prostitution,07/01/2019,mexico
https://www.justice.gov/usao-edmo/pr/farmington-man-sentenced-sex-trafficking-and-child-pornography,usa,usa,1,16,0,1,prostitution,19/12/2018,Farmington
http://www.eurasiareview.com/25032019-myanmar-women-girls-trafficked-as-brides-to-china-says-hrw/,myanmar,china,37,,,37,prostiution,25/03/2019,
https://lompocrecord.com/news/local/statewide-human-trafficking-operation-nets-arrests-rescues-in-santa-barbara/article_8e512d33-9046-5ab7-a10d-79c01625b546.html,usa,,48,,,48,prostiution,01/01/2019,santa barbara
https://www.wlns.com/news/michigan-state-police-rescued-five-human-trafficking-victims-in-west-michigan/1637989875,,usa,20,,,,,03/12/2018,kalamazoo
https://www.turnto23.com/news/local-news/two-girls-rescued-from-human-trafficking-in-bakersfield,,usa,2,18,,2,prostitution,19/10/2018,bakersfield
https://www.bbc.com/news/world-latin-america-43941143,,caribbean,350,,,,,30/04/2018,
https://www.justice.gov/usao-mdga/pr/dublin-man-sentenced-20-years-federal-prison-operating-interstate-pimping-ring-co,usa,georgia,10,,0,10,prostitution,13/12/2018,
https://abc7news.com/hundreds-arrested-in-human-trafficking-crackdown-in-california/3008362/,,usa,56,,,56,prostitution,31/01/2018,los angeles
https://www.news4jax.com/news/local/jacksonville/66-rescued-from-human-trafficking-last-year-in-jacksonville,,usa,66,,,,,16/01/2018,florida
https://www.justice.gov/usao-wdmo/pr/columbia-man-sentenced-15-years-child-sex-trafficking-0,usa,usa,3,17,0,3,prostitution,13/12/2018,Columbia
https://www.kcra.com/article/14-arrested-cited-in-el-dorado-county-human-trafficking-sting-2/14463293,,usa,1,17,,1,prostitution,20/12/2017,california
http://www.ldsliving.com/How-Children-Rescued-from-Human-Trafficking-Are-Healed-with-Help-from-Operation-Underground-Railroad/s/86682/,,usa,20,,,20,sex,,central america
https://www.nbcnews.com/news/us-news/84-children-rescued-120-human-traffickers-arrested-across-u-s-n812156,,usa,84,children,,,prostitution,19/10/2017,san francisco
https://www.shreveporttimes.com/story/news/crime/2017/04/19/six-arrested-human-trafficking-two-teens-rescued/100639660/,,usa,2,,,2,prostitution,19/04/2017,Louisiana
https://www.justice.gov/usao-mn/pr/thirty-six-defendants-guilty-their-roles-international-thai-sex-trafficking-organization,Thailand,USA,100,,100,,prostitution,13/12/2018,
https://globalnews.ca/news/4956517/human-trafficking-labour-canada/,Canada,Canada,43,20 - 46,43,,Bonded Labour,14-02-2019,Ontario
https://www.wtae.com/article/more-than-300-arrested-48-people-rescued-during-human-trafficking-investigation/26089568,USA,USA,48,,,48,Sexual Exploit,30-01-2019,California
http://www.ldsliving.com/How-Children-Rescued-from-Human-Trafficking-Are-Healed-with-Help-from-Operation-Underground-Railroad/s/86682/,Central America,Central America,20,5-25,-,20,Sexual Exploit,,
http://www.wlox.com/2019/03/01/teen-rescued-during-human-trafficking-sting-hub-city/,USA,USA,1,18,0,1,Sexual Exploit,01-03-2019,Mississipi
https://www.wlns.com/news/michigan-state-police-rescued-five-human-trafficking-victims-in-west-michigan/1637989875,USA,USA,5,,,,,03-12-2018,West Michigan
http://www.theglobaldispatch.com/new-report-from-ireland-45-rescued-from-human-trafficking-ring-75286/,China,Ireland,30,25-45,23,7,Bonded Labour,09-02-2015,
http://www.theglobaldispatch.com/new-report-from-ireland-45-rescued-from-human-trafficking-ring-75286/,Romania,Ireland,30,25-45,23,7,Bonded Labour,09-02-2015,
http://www.theglobaldispatch.com/new-report-from-ireland-45-rescued-from-human-trafficking-ring-75286/,Albania,Ireland,15,,,,Bonded Labour,09-02-2015,
http://www.theglobaldispatch.com/new-report-from-ireland-45-rescued-from-human-trafficking-ring-75286/,Vietnam,Ireland,15,,,,Bonded Labour,09-02-2015,
http://www.theglobaldispatch.com/new-report-from-ireland-45-rescued-from-human-trafficking-ring-75286/,Lithuania,Ireland,15,,,,Bonded Labour,09-02-2015,
https://www.philstar.com/nation/2018/12/24/1879441/9-victims-trafficking-rescued-naia,philippines,South Korea,9,,,,Hired Worker,20-12-2018,Manila
https://www.malaysiakini.com/news/366771,Bangladesh,malaysia,59,,,,Bonded Labour,20-12-2016,
http://goldenageofgaia.com/2018/02/02/human-trafficking-crackdown-510-arrested-56-rescued-in-california/,USA,USA,56,,45,11,,02-02-2018,California
https://www.pe.com/2017/08/17/2-human-trafficking-victims-rescued-l-a-man-arrested-in-chino-raid/,USA,USA,2,,2,0,Bonded Labour,17-08-2018,Los Angeles
https://www.reuters.com/article/us-usa-trafficking-arrests-idUSKBN15G5J6,USA,USA,28,10-18,,,,02-02-2017,
https://www.reuters.com/article/us-usa-trafficking-arrests-idUSKBN15G5J6,USA,USA,27,18-35,,,Sexual Exploit,02-02-2017,
https://punchng.com/103-victims-of-human-trafficking-rescued-in-osun-naptip/,Nigeria,,103,,25,78,,06-08-2018,Osun
https://cebudailynews.inquirer.net/208486/8-rescued-from-human-trafficking-at-naia,philippines,UAE,8,,6,2,,17-12-2018,Manila
http://www.crimevoice.com/2018/05/22/human-trafficking-operation-rescued-two-juveniles-arrested-26/,USA,USA,2,13-17,1,1,Sexual Exploit,22-05-2018,L.A.
https://patch.com/california/banning-beaumont/human-trafficking-victim-rescued-inland-empire-sheriff,USA,USA,1,17,0,1,Sexual Exploit,30-10-2018,California
https://ktla.com/2019/03/14/3-teen-human-trafficking-victims-rescued-suspected-pimp-arrested-in-santa-ana-police/,USA,USA,3,13-16,0,3,Sexual Exploit,14-03-2019,Santa Ana
https://wgno.com/2018/12/20/2-men-arrested-missing-teen-rescued-in-sex-trafficking-raid-at-canal-st-hotel/,Louisiana,Louisiana,1,16,0,1,Sexual Exploit,15-12-2018,New Orleans
https://www.sunstar.com.ph/article/1799619,philippines,philippines,10,,0,17,Sexual Exploit,01-04-2019,
http://www.theglobaldispatch.com/california-man-ronald-ean-taylor-pleads-guilty-to-sex-trafficking-of-6-victims-39323/,USA,USA,6,,0,6,Sexual Exploit,01-11-2014,
https://www.whec.com/national/man-accused-of-forcing-california-woman-into-prostitution/5277093/,USA,USA,1,,0,1,Sexual Exploit,13-03-2019,
https://www.latimes.com/local/lanow/la-me-ln-human-trafficking-sweep-arrests-20170202-story.html,,usa,55,,,,,,
http://www.theglobaldispatch.com/new-report-from-ireland-45-rescued-from-human-trafficking-ring-75286/,romania,ireland,22,,22,,labour,09/02/2019,northern ireland
http://www.theglobaldispatch.com/new-report-from-ireland-45-rescued-from-human-trafficking-ring-75286/,china,,3,,3,,,09/02/2019,northern ireland
http://www.theglobaldispatch.com/new-report-from-ireland-45-rescued-from-human-trafficking-ring-75286/,china,,7,,,7,labour,09/02/2019,northern ireland
http://www.theglobaldispatch.com/new-report-from-ireland-45-rescued-from-human-trafficking-ring-75286/,,,13,,,,,09/02/2019,northern ireland
http://www.theglobaldispatch.com/new-report-from-ireland-45-rescued-from-human-trafficking-ring-75286/,,,,,,,,09/02/2019,northern ireland
https://www.justice.gov/usao-ndil/pr/west-suburban-sex-trafficker-sentenced-21-years-federal-prison,usa,usa,5,15,0,5,sex trafficking,13/12/2018,CHICAGO
https://www.philstar.com/nation/2018/12/24/1879441/9-victims-trafficking-rescued-naia,,philippines,9,,,,labour,17/12/2018,manila
https://www.malaysiakini.com/news/366771,bangladesh,malaysia,59,,,,labour,20/12/2018,kuala lumpur
https://www.justice.gov/usao-sdny/pr/us-attorney-announces-charges-against-19-defendants-sex-trafficking-minor-girls-and,usa,usa,15,minor,0,15,sex trafficking,13/12/2018,Westchester County
https://www.pe.com/2017/08/17/2-human-trafficking-victims-rescued-l-a-man-arrested-in-chino-raid/,,usa,2,,,2,sex trafficking,16/08/2017,los angeles
https://punchng.com/103-victims-of-human-trafficking-rescued-in-osun-naptip/,,nigeria,103,,25,78,,06/08/2018,osun
